permit_id,permit_type,municipality,state,fips_code,issue_date,status,project_description,valuation,square_feet,property_address,parcel_id,contractor_name,contractor_license,contractor_class,license_expiry
BLD-2026-047193,Commercial Building,Phoenix,AZ,04013,2026-06-10,Issued,"Tenant fit-out - 3rd floor office space",1250000,8500,"2400 E Camelback Rd, Phoenix, AZ",126-09-001A,Desert Sky Construction Inc.,AZ ROC-347812,A - General Engineering,2027-03-31
MEC-2026-021845,Mechanical,Nashville,TN,47037,2026-06-08,Issued,"HVAC replacement - 8-story office tower",340000,12000,"211 Commerce St, Nashville, TN",093-14-0A-001-00,Music City Mechanical LLC,TN MECH-88421,Class 3 - HVAC,2027-06-15
BLD-2026-047194,Commercial Building,Denver,CO,08031,2026-06-05,Closed,"New mixed-use retail + residential - 4 stories",4800000,22000,"1600 Glenarm Pl, Denver, CO",02203-001-002-000,Rocky Mountain Builders Inc.,CO GC-99234,Class A - General,2027-09-30
ELC-2026-091237,Electrical,Charlotte,NC,37119,2026-06-03,Issued,"Electrical infrastructure upgrade - data center",185000,6200,"301 S Tryon St, Charlotte, NC",071-031-02,Queen City Electric LLC,NC ELEC-45123,Class 2 - Electrical,2026-12-31
BLD-2026-047195,Commercial Building,Seattle,WA,53033,2026-05-28,In Review,"Historic renovation - ground floor retail + office",2100000,14500,"1420 5th Ave, Seattle, WA",198520-1230,Emerald City Development Corp.,WA CONTR-SEATTLE-7721,General Contractor - Commercial,2027-05-15
PLM-2026-031244,Plumbing,Austin,TX,48453,2026-05-25,Issued,"Restroom remodel - 4 floors commercial",95000,3800,"816 Congress Ave, Austin, TX",012345-6789,Capital City Plumbing Inc.,TX MPL-89012,Class B - Plumbing,2027-02-28
MEC-2026-021846,Mechanical,Orlando,FL,12095,2026-05-22,In Review,"Chiller plant upgrade - convention center",210000,9000,"9800 International Dr, Orlando, FL",13-22-30-0000-00-101,Sunshine State Mechanical,FL CMC-56789,Class A - Mechanical,2026-11-30
BLD-2026-047196,Commercial Building,Portland,OR,41051,2026-05-20,Issued,"Warehouse expansion - cold storage addition",3500000,25000,"5000 N Marine Dr, Portland, OR",1N2E13AB-00100,Pacific Northwest Contractors,OR CCB-123456,General Contractor,2027-08-31
ELC-2026-091238,Electrical,Atlanta,GA,13121,2026-05-18,Closed,"Solar panel installation - commercial rooftop",125000,15000,"3343 Peachtree Rd NE, Atlanta, GA",17-001-0001-012-4,Peach State Solar Inc.,GA ELC-33441,Class 1 - Solar/Electrical,2026-10-31
BLD-2026-047197,Commercial Building,Minneapolis,MN,27053,2026-05-15,Issued,"Office building lobby renovation",890000,6500,"222 S 9th St, Minneapolis, MN",22-029-00-42-0015,Northern Lights Construction Co.,MN BC-78221,Commercial B Contractor,2027-04-30